번호,도서관명,도서관홈페이지,상품종류,제목,저자,출판사,출판일,국제표준도서번호,보유 종수,공급사,대분류,중분류,데이터 기준일자
10604,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,걱정 활용법 - 당신의 고민을 산뜻하게 정리하는,로버트 L. 리히,(주)도서출판푸른숲,,,5,BC,자기계발,자기능력계발,2025-08-22
10605,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,건강상식 오류사전,임현담,경당,,,5,BC,가정/생활/요리,가정생활일반,2025-08-22
10606,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,건강한 투석생활 - 중명 건강신서 4,이혁우,중명,,,5,BC,건강/의학,건강일반,2025-08-22
10607,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,건국 이야기가 담긴 뜻,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10608,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,걸리버 여행기,두산동아편집부,두산동아,,,5,BC,유아,그림책,2025-08-22
10609,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,걸리보의 좌충우돌 한자 정복기 - 읽으면서 외워지는 한자연상법,김재헌,경향미디어,,,5,BC,아동,어린이학습/자기계발,2025-08-22
10610,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검산,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10611,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검은 태양 1,파천,파피루스,,,5,BC,소설,SF/판타지,2025-08-22
10612,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검은 태양 2,파천,파피루스,,,5,BC,소설,SF/판타지,2025-08-22
10613,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검은 태양 3,파천,파피루스,,,5,BC,소설,SF/판타지,2025-08-22
10614,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검은 태양 4 (완결),파천,파피루스,,,5,BC,소설,SF/판타지,2025-08-22
10615,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검은말 이야기,이키드북 편집부,이키드북,,,5,BC,유아,그림책,2025-08-22
10616,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검정 고양이,돛대 편집부,돛대,,,5,BC,소설,외국소설,2025-08-22
10617,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,검정고무신 1 - 가난한 시절 부자 아이들,이우영,파랑새어린이,,,5,BC,유아,그림책,2025-08-22
10618,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,게으른 백만장자,마크 피셔,밀리언하우스,,,5,BC,자기계발,성공/처세,2025-08-22
10619,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,게으름뱅이 탈출 학교 - 시간의 소중함을 모르는 아이들을 위한 시간관리의 지혜,황근기,다산어린이,,,5,BC,아동,어린이학습/자기계발,2025-08-22
10620,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,겨우 500단어로 말하고 500만원 버는 여자,강창래,랜덤하우스코리아,,,5,BC,자기계발,성공/처세,2025-08-22
