번호,구분,상품번호,대분류,서명,저자,출판사,보유 권수,데이터기준일
9141,전자책,89191695,문학,대지의 슬픔,에리크 뷔야르 저/이재룡 역,열린책들,2,2025-07-01
9142,전자책,90439988,가정과생활,대치동 독서법 : 초중고로 이어지는 입시독서의 모든 것,"박노성,여성오 공저",일상과이상,1,2025-07-01
9143,전자책,75447691,인문／사회,대통령 문재인의 2년,편집부 편,더휴먼,1,2025-07-01
9144,전자책,37534227,인문／사회,대통령 박근혜 탄핵 사건 선고 결정문,헌법재판소 저,더휴먼,1,2025-07-01
9145,전자책,12248759,인문／사회,대통령의 글쓰기,강원국 저,메디치미디어,1,2025-07-01
9146,전자책,89469134,경제／경영,대학 전공분야 선택과 정부의 역할,한요셉 저,한국개발연구원,1,2025-07-01
9147,전자책,73093553,자기관리,대학원생 때 알았더라면 좋았을 것들,"엄태웅,최윤섭,권창현 공저",클라우드나인,1,2025-07-01
9148,전자책,80317864,문학,대학원은 처음이라서 : 한국어강사 다이어리 1,김가연 저,정독출판,1,2025-07-01
9149,전자책,55145712,어린이/청소년,대학입시 학생부종합전형 꿀팁 4 : 자소서 글쓰기 십계명,서울교육방송 저,미디어 북,1,2025-07-01
9150,전자책,80217929,경제／경영,"대한민국 가계부채 보고서 : 부동산시장, 금융시스템, 정부 정책에 감춰진 금융위기의 시그널과 진단, 그리고 대응 방안!",서영수 저,에이지21,1,2025-07-01
9151,전자책,73272958,경제／경영,대한민국 농가농촌을 위한 상품기획의 정석 : 실패하지 않는 농식품 상품기획 9가지 방법,"이영빈,최낙삼 공저",새빛,1,2025-07-01
9152,전자책,67519058,인문／사회,"대한민국 독서사 : 우리가 사랑한 책들, 知의 현대사와 읽기의 풍경","천정환,정종현 공저",서해문집,1,2025-07-01
9153,전자책,70273914,경제／경영,대한민국 리더들이 모르는 온라인 마케팅의 함정 : 현직 광고대행사 대표가 밝히는 진짜 돈이 되는 온라인 마케팅 실전 팁,이상규 저,나비의활주로,1,2025-07-01
9154,전자책,13139075,가정과생활,대한민국 버킷리스트 여행 : 영흥도,RUDIN 저,유페이퍼(개인출판),1,2025-07-01
9155,전자책,86156699,경제／경영,"대한민국 부동산, 어떻게 흘러갈 것인가 : 대한민국 부동산 시장은 생각보다 강하다",최진곤 저,원앤원북스,1,2025-07-01
9156,전자책,79192086,가정과생활,대한민국 요즘 여행 (2019~20120 최신판) : 1순위 명소부터 SNS 핫플까지,"옥미혜,서준규 공저",알에이치코리아(RHK),2,2025-07-01
9157,전자책,35966398,어린이/청소년,대한민국 유치원에서 가장 좋아하는 그리기 100 01월편 : 인기 만점 선생님도 몰래 보는 그림 비밀 노트,김민경 저,더디퍼런스,1,2025-07-01
9158,전자책,35966392,어린이/청소년,대한민국 유치원에서 가장 좋아하는 그리기 100 07월편 : 인기 만점 선생님도 몰래 보는 그림 비밀 노트,김민경 저,더디퍼런스,1,2025-07-01
9159,전자책,35966387,어린이/청소년,대한민국 유치원에서 가장 좋아하는 그리기 100 10월편 : 인기 만점 선생님도 몰래 보는 그림 비밀 노트,김민경 저,더디퍼런스,1,2025-07-01
9160,전자책,9299134,경제／경영,"대한민국 유통지도 : 유망 창업과 투자처, 시장의 흐름을 포착하는 나침반",한국비즈니스정보 저,어바웃어북,1,2025-07-01
